2023-01-18 13:22:23 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$confirm is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:23 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$unconfirm is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:23 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getTotal is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:23 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getTotal is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:23 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$confirm is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:23 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$unconfirm is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:23 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getTotal is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:23 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getTotal is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:23 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$confirm is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:23 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$unconfirm is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:23 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getTotal is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:23 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$confirm is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:23 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$unconfirm is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:23 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getTotal is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:23 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$addUpload is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:23 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getUploadByCode is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:23 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getCategory is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:23 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getCategories is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:23 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getFilters is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:23 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getLayoutId is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Library\Request::$request is deprecated in C:\xampp\htdocs\opencart\upload\system\library\request.php on line 27
2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property mysqli::$report_mode is deprecated in C:\xampp\htdocs\opencart\upload\system\library\db\mysqli.php on line 15
2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getStore is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getStoreByHostname is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getStores is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getSettings is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getSetting is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getValue is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getLanguage is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getLanguageByCode is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getLanguages is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Library\Session\DB::$db is deprecated in C:\xampp\htdocs\opencart\upload\system\library\session\db.php on line 13
2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Library\Session\DB::$config is deprecated in C:\xampp\htdocs\opencart\upload\system\library\session\db.php on line 14
2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getSeoUrlByKeyword is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getSeoUrlByKeyValue is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
